#,Visible?,Starred?,Identified Proteins (1591),Accession Number,Alternate ID,Molecular Weight,Protein Grouping Ambiguity,Taxonomy,5848 - #1 - Exp,5848 - #2 - Exp,5848 - #3 - Exp,5848 - #4 - Exp
167,TRUE,Empty,Heterogeneous nuclear ribonucleoprotein L (Fragment) OS=Homo sapiens OX=9606 GN=HNRNPL PE=1 SV=1,tr|A0A3B3ITJ4|A0A3B3ITJ4_HUMAN,,59 kDa,TRUE,unknown,0,0,2,0
170,TRUE,Empty,DNA topoisomerase 2-alpha OS=Homo sapiens OX=9606 GN=TOP2A PE=1 SV=3,sp|P11388|TOP2A_HUMAN,,174 kDa,TRUE,unknown,0,0,22,40
173,TRUE,Empty,sp|KRHB6_HUMAN|,sp|KRHB6_HUMAN| (+1),,53 kDa,TRUE,unknown,0,0,0,2
175,TRUE,Empty,"Methylcrotonoyl-CoA carboxylase subunit alpha, mitochondrial OS=Homo sapiens OX=9606 GN=MCCC1 PE=1 SV=3",sp|Q96RQ3|MCCA_HUMAN,,80 kDa,TRUE,unknown,0,0,0,65
185,TRUE,Empty,ADP/ATP translocase 3 OS=Homo sapiens OX=9606 GN=SLC25A6 PE=1 SV=4,sp|P12236|ADT3_HUMAN,,33 kDa,TRUE,unknown,0,0,3,14
194,TRUE,Empty,Nuclear pore complex protein Nup205 OS=Homo sapiens OX=9606 GN=NUP205 PE=1 SV=3,sp|Q92621|NU205_HUMAN,,228 kDa,,unknown,0,4,11,40
209,TRUE,Empty,ATPase family AAA domain-containing protein 3B OS=Homo sapiens OX=9606 GN=ATAD3B PE=1 SV=1,sp|Q5T9A4|ATD3B_HUMAN,,73 kDa,TRUE,unknown,0,0,2,15
211,TRUE,Empty,Basement membrane-specific heparan sulfate proteoglycan core protein OS=Homo sapiens OX=9606 GN=HSPG2 PE=1 SV=4,sp|P98160|PGBM_HUMAN,,469 kDa,,unknown,0,0,0,52
232,TRUE,Empty,"Propionyl-CoA carboxylase alpha chain, mitochondrial OS=Homo sapiens OX=9606 GN=PCCA PE=1 SV=4",sp|P05165|PCCA_HUMAN,,80 kDa,TRUE,unknown,0,0,0,47
235,TRUE,Empty,Flotillin-2 OS=Homo sapiens OX=9606 GN=FLOT2 PE=1 SV=2,sp|Q14254|FLOT2_HUMAN (+1),,47 kDa,,unknown,0,0,0,45
237,TRUE,Empty,Protein RRP5 homolog OS=Homo sapiens OX=9606 GN=PDCD11 PE=1 SV=3,sp|Q14690|RRP5_HUMAN,,209 kDa,,unknown,0,0,11,32
245,TRUE,Empty,"Keratin, type I cuticular Ha1 OS=Homo sapiens OX=9606 GN=KRT31 PE=1 SV=3",sp|Q15323|K1H1_HUMAN,,47 kDa,TRUE,unknown,0,0,0,9
246,TRUE,Empty,sp|K2M1_SHEEP|,sp|K2M1_SHEEP|,,13 kDa,TRUE,unknown,0,0,0,26
253,TRUE,Empty,Spliceosome RNA helicase DDX39B OS=Homo sapiens OX=9606 GN=DDX39B PE=1 SV=1,sp|Q13838|DX39B_HUMAN,,49 kDa,TRUE,unknown,0,1,3,5
278,TRUE,Empty,Filamin-B OS=Homo sapiens OX=9606 GN=FLNB PE=1 SV=2,sp|O75369|FLNB_HUMAN,,278 kDa,TRUE,unknown,0,3,0,0
285,TRUE,Empty,DNA topoisomerase 2-beta OS=Homo sapiens OX=9606 GN=TOP2B PE=1 SV=3,sp|Q02880|TOP2B_HUMAN,,183 kDa,TRUE,unknown,0,0,8,12
286,TRUE,Empty,Flotillin-1 OS=Homo sapiens OX=9606 GN=FLOT1 PE=1 SV=3,sp|O75955|FLOT1_HUMAN,,47 kDa,,unknown,0,0,0,37
298,TRUE,Empty,Lamin-B2 OS=Homo sapiens OX=9606 GN=LMNB2 PE=1 SV=4,sp|Q03252|LMNB2_HUMAN,,70 kDa,TRUE,unknown,0,0,23,8
299,TRUE,Empty,Prohibitin-2 OS=Homo sapiens OX=9606 GN=PHB2 PE=1 SV=2,sp|Q99623|PHB2_HUMAN (+1),,33 kDa,,unknown,0,0,10,27
301,TRUE,Empty,sp|K1HB_HUMAN|,sp|K1HB_HUMAN| (+1),,46 kDa,TRUE,unknown,0,0,0,5
306,TRUE,Empty,"Keratin, type II cytoskeletal 1b OS=Homo sapiens OX=9606 GN=KRT77 PE=1 SV=3",sp|Q7Z794|K2C1B_HUMAN,,62 kDa,TRUE,unknown,0,3,0,1
309,TRUE,Empty,ATP-dependent RNA helicase DDX18 OS=Homo sapiens OX=9606 GN=DDX18 PE=1 SV=2,sp|Q9NVP1|DDX18_HUMAN,,75 kDa,,unknown,0,0,5,29
328,TRUE,Empty,"C-1-tetrahydrofolate synthase, cytoplasmic OS=Homo sapiens OX=9606 GN=MTHFD1 PE=1 SV=3",sp|P11586|C1TC_HUMAN (+3),,102 kDa,TRUE,unknown,0,30,0,4
330,TRUE,Empty,Nucleolar protein 56 OS=Homo sapiens OX=9606 GN=NOP56 PE=1 SV=4,sp|O00567|NOP56_HUMAN,,66 kDa,,unknown,0,0,10,24
331,TRUE,Empty,sp|K1H6_HUMAN|,sp|K1H6_HUMAN| (+1),,52 kDa,TRUE,unknown,0,0,0,8
337,TRUE,Empty,E3 ubiquitin-protein ligase UBR4 OS=Homo sapiens OX=9606 GN=UBR4 PE=1 SV=1,sp|Q5T4S7|UBR4_HUMAN,,574 kDa,TRUE,unknown,0,29,0,0
353,TRUE,Empty,Tyrosine-protein kinase BAZ1B OS=Homo sapiens OX=9606 GN=BAZ1B PE=1 SV=2,sp|Q9UIG0|BAZ1B_HUMAN,,171 kDa,,unknown,0,0,8,15
356,TRUE,Empty,HEAT repeat-containing protein 1 OS=Homo sapiens OX=9606 GN=HEATR1 PE=1 SV=3,sp|Q9H583|HEAT1_HUMAN,,242 kDa,,unknown,0,0,3,25
360,TRUE,Empty,Fibronectin OS=Homo sapiens OX=9606 GN=FN1 PE=1 SV=5,sp|P02751|FINC_HUMAN,,272 kDa,,unknown,0,0,0,28
361,TRUE,Empty,Nuclear pore complex protein Nup155 OS=Homo sapiens OX=9606 GN=NUP155 PE=1 SV=1,sp|O75694|NU155_HUMAN,,155 kDa,,unknown,0,5,8,15
379,TRUE,Empty,Probable global transcription activator SNF2L1 OS=Homo sapiens OX=9606 GN=SMARCA1 PE=1 SV=2,sp|P28370|SMCA1_HUMAN,,123 kDa,TRUE,unknown,0,0,0,5
380,TRUE,Empty,sp|K1H5_HUMAN|,sp|K1H5_HUMAN| (+2),,48 kDa,TRUE,unknown,0,0,0,6
388,TRUE,Empty,Cytoskeleton-associated protein 4 OS=Homo sapiens OX=9606 GN=CKAP4 PE=1 SV=2,sp|Q07065|CKAP4_HUMAN,,66 kDa,,unknown,0,0,0,28
389,TRUE,Empty,Histone H1.4 OS=Homo sapiens OX=9606 GN=H1-4 PE=1 SV=2,sp|P10412|H14_HUMAN,,22 kDa,TRUE,unknown,0,0,0,11
404,TRUE,Empty,Nucleolar RNA helicase 2 OS=Homo sapiens OX=9606 GN=DDX21 PE=1 SV=5,sp|Q9NR30|DDX21_HUMAN,,87 kDa,TRUE,unknown,0,0,7,21
405,TRUE,Empty,FACT complex subunit SPT16 OS=Homo sapiens OX=9606 GN=SUPT16H PE=1 SV=1,sp|Q9Y5B9|SP16H_HUMAN,,120 kDa,TRUE,unknown,0,0,10,15
406,TRUE,Empty,Histone H1.2 OS=Homo sapiens OX=9606 GN=H1-2 PE=1 SV=2,sp|P16403|H12_HUMAN,,21 kDa,TRUE,unknown,0,0,4,23
420,TRUE,Empty,DNA topoisomerase 1 OS=Homo sapiens OX=9606 GN=TOP1 PE=1 SV=2,sp|P11387|TOP1_HUMAN,,91 kDa,TRUE,unknown,0,0,11,12
421,TRUE,Empty,Probable ATP-dependent RNA helicase DDX27 OS=Homo sapiens OX=9606 GN=DDX27 PE=1 SV=2,sp|Q96GQ7|DDX27_HUMAN (+1),,90 kDa,,unknown,0,0,10,15
422,TRUE,Empty,Myosin-14 OS=Homo sapiens OX=9606 GN=MYH14 PE=1 SV=2,sp|Q7Z406|MYH14_HUMAN,,228 kDa,TRUE,unknown,0,4,0,0
434,TRUE,Empty,CCAAT/enhancer-binding protein zeta OS=Homo sapiens OX=9606 GN=CEBPZ PE=1 SV=3,sp|Q03701|CEBPZ_HUMAN,,121 kDa,,unknown,0,0,6,18
436,TRUE,Empty,"Keratin, type II cytoskeletal 73 OS=Homo sapiens OX=9606 GN=KRT73 PE=1 SV=1",sp|Q86Y46|K2C73_HUMAN,,59 kDa,TRUE,unknown,0,4,0,1
445,TRUE,Empty,Nucleolar complex protein 2 homolog OS=Homo sapiens OX=9606 GN=NOC2L PE=1 SV=4,sp|Q9Y3T9|NOC2L_HUMAN,,85 kDa,,unknown,0,0,4,19
447,TRUE,Empty,RNA cytidine acetyltransferase OS=Homo sapiens OX=9606 GN=NAT10 PE=1 SV=2,sp|Q9H0A0|NAT10_HUMAN,,116 kDa,,unknown,0,0,2,20
449,TRUE,Empty,Nucleolar protein 58 OS=Homo sapiens OX=9606 GN=NOP58 PE=1 SV=1,sp|Q9Y2X3|NOP58_HUMAN,,60 kDa,,unknown,0,0,6,16
451,TRUE,Empty,Myb-binding protein 1A OS=Homo sapiens OX=9606 GN=MYBBP1A PE=1 SV=2,sp|Q9BQG0|MBB1A_HUMAN,,149 kDa,,unknown,0,0,2,19
452,TRUE,Empty,Transcription elongation factor SPT6 OS=Homo sapiens OX=9606 GN=SUPT6H PE=1 SV=2,sp|Q7KZ85|SPT6H_HUMAN,,199 kDa,,unknown,0,0,20,1
453,TRUE,Empty,E3 ubiquitin-protein ligase XIAP OS=Homo sapiens OX=9606 GN=XIAP PE=1 SV=2,sp|P98170|XIAP_HUMAN,,57 kDa,,unknown,0,24,0,0
466,TRUE,Empty,DNA-directed RNA polymerase II subunit RPB1 OS=Homo sapiens OX=9606 GN=POLR2A PE=1 SV=2,sp|P24928|RPB1_HUMAN,,217 kDa,,unknown,0,0,14,5
467,TRUE,Empty,Ribosomal L1 domain-containing protein 1 OS=Homo sapiens OX=9606 GN=RSL1D1 PE=1 SV=3,sp|O76021|RL1D1_HUMAN,,55 kDa,,unknown,0,0,2,21
470,TRUE,Empty,Tenascin OS=Homo sapiens OX=9606 GN=TNC PE=1 SV=3,sp|P24821|TENA_HUMAN,,241 kDa,,unknown,0,0,0,22
480,TRUE,Empty,Nucleolar and coiled-body phosphoprotein 1 OS=Homo sapiens OX=9606 GN=NOLC1 PE=1 SV=2,sp|Q14978|NOLC1_HUMAN (+1),,74 kDa,TRUE,unknown,0,0,0,18
484,TRUE,Empty,Zyxin OS=Homo sapiens OX=9606 GN=ZYX PE=1 SV=1,sp|Q15942|ZYX_HUMAN,,61 kDa,,unknown,0,24,0,0
510,TRUE,Empty,Glutamine--fructose-6-phosphate aminotransferase [isomerizing] 1 OS=Homo sapiens OX=9606 GN=GFPT1 PE=1 SV=3,sp|Q06210|GFPT1_HUMAN,,79 kDa,TRUE,unknown,0,22,0,0
520,TRUE,Empty,Cleavage and polyadenylation specificity factor subunit 5 OS=Homo sapiens OX=9606 GN=NUDT21 PE=1 SV=1,sp|O43809|CPSF5_HUMAN,,26 kDa,,unknown,0,0,16,1
523,TRUE,Empty,"Phosphate carrier protein, mitochondrial OS=Homo sapiens OX=9606 GN=SLC25A3 PE=1 SV=1",tr|F8VVM2|F8VVM2_HUMAN,,36 kDa,,unknown,0,0,3,17
524,TRUE,Empty,"Diablo homolog, mitochondrial OS=Homo sapiens OX=9606 GN=DIABLO PE=1 SV=1",sp|Q9NR28|DBLOH_HUMAN,,27 kDa,TRUE,unknown,0,17,2,0
526,TRUE,Empty,MICOS complex subunit MIC60 OS=Homo sapiens OX=9606 GN=IMMT PE=1 SV=1,sp|Q16891|MIC60_HUMAN,,84 kDa,,unknown,0,0,0,18
556,TRUE,Empty,Prohibitin OS=Homo sapiens OX=9606 GN=PHB PE=1 SV=1,sp|P35232|PHB_HUMAN,,30 kDa,,unknown,0,0,2,16
559,TRUE,Empty,Probable ATP-dependent RNA helicase DDX47 OS=Homo sapiens OX=9606 GN=DDX47 PE=1 SV=1,sp|Q9H0S4|DDX47_HUMAN,,51 kDa,,unknown,0,0,7,11
571,TRUE,Empty,Nucleolar GTP-binding protein 1 OS=Homo sapiens OX=9606 GN=GTPBP4 PE=1 SV=3,sp|Q9BZE4|NOG1_HUMAN,,74 kDa,,unknown,0,0,2,11
574,TRUE,Empty,60S ribosomal protein L18a OS=Homo sapiens OX=9606 GN=RPL18A PE=1 SV=2,sp|Q02543|RL18A_HUMAN,,21 kDa,,unknown,0,0,3,14
575,TRUE,Empty,60S ribosomal protein L8 OS=Homo sapiens OX=9606 GN=RPL8 PE=1 SV=2,sp|P62917|RL8_HUMAN,,28 kDa,,unknown,0,0,3,13
577,TRUE,Empty,60S ribosomal protein L9 OS=Homo sapiens OX=9606 GN=RPL9 PE=1 SV=1,sp|P32969|RL9_HUMAN,,22 kDa,,unknown,0,0,3,14
591,TRUE,Empty,"Isocitrate dehydrogenase [NADP], mitochondrial OS=Homo sapiens OX=9606 GN=IDH2 PE=1 SV=2",sp|P48735|IDHP_HUMAN,,51 kDa,,unknown,0,7,0,9
599,TRUE,Empty,Collagen alpha-1(XII) chain OS=Homo sapiens OX=9606 GN=COL12A1 PE=1 SV=2,sp|Q99715|COCA1_HUMAN,,333 kDa,,unknown,0,0,0,14
616,TRUE,Empty,60S ribosomal protein L13a OS=Homo sapiens OX=9606 GN=RPL13A PE=1 SV=2,sp|P40429|RL13A_HUMAN,,24 kDa,,unknown,0,0,3,12
618,TRUE,Empty,ATPase family AAA domain-containing protein 2 OS=Homo sapiens OX=9606 GN=ATAD2 PE=1 SV=1,sp|Q6PL18|ATAD2_HUMAN,,159 kDa,TRUE,unknown,0,0,1,13
619,TRUE,Empty,RNA-binding protein 15 OS=Homo sapiens OX=9606 GN=RBM15 PE=1 SV=2,sp|Q96T37|RBM15_HUMAN,,107 kDa,TRUE,unknown,0,0,2,12
623,TRUE,Empty,Small subunit processome component 20 homolog OS=Homo sapiens OX=9606 GN=UTP20 PE=1 SV=3,sp|O75691|UTP20_HUMAN,,318 kDa,,unknown,0,0,0,14
626,TRUE,Empty,Multifunctional protein ADE2 OS=Homo sapiens OX=9606 GN=PAICS PE=1 SV=3,sp|P22234|PUR6_HUMAN,,47 kDa,,unknown,0,15,0,0
628,TRUE,Empty,cAMP-dependent protein kinase catalytic subunit beta OS=Homo sapiens OX=9606 GN=PRKACB PE=1 SV=2,sp|P22694|KAPCB_HUMAN,,41 kDa,TRUE,unknown,0,2,0,0
640,TRUE,Empty,*REV*Mucin-19 OS=Homo sapiens OX=9606 GN=MUC19 PE=1 SV=3,r-sp|Q7Z5P9|MUC19_HUMAN,,805 kDa,,unknown,0,2,0,2
648,TRUE,Empty,Testis-expressed protein 10 OS=Homo sapiens OX=9606 GN=TEX10 PE=1 SV=2,sp|Q9NXF1|TEX10_HUMAN,,106 kDa,,unknown,0,0,2,13
649,TRUE,Empty,Probable dimethyladenosine transferase OS=Homo sapiens OX=9606 GN=DIMT1 PE=1 SV=1,sp|Q9UNQ2|DIM1_HUMAN,,35 kDa,,unknown,0,0,1,12
650,TRUE,Empty,Probable ATP-dependent RNA helicase DDX56 OS=Homo sapiens OX=9606 GN=DDX56 PE=1 SV=1,sp|Q9NY93|DDX56_HUMAN,,62 kDa,,unknown,0,0,1,11
662,TRUE,Empty,pre-rRNA 2'-O-ribose RNA methyltransferase FTSJ3 OS=Homo sapiens OX=9606 GN=FTSJ3 PE=1 SV=2,sp|Q8IY81|SPB1_HUMAN,,97 kDa,,unknown,0,0,4,8
670,TRUE,Empty,RNA helicase OS=Homo sapiens OX=9606 GN=DHX30 PE=1 SV=1,tr|H7BXY3|H7BXY3_HUMAN,,131 kDa,,unknown,0,0,1,10
671,TRUE,Empty,"Lamina-associated polypeptide 2, isoform alpha OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",sp|P42166|LAP2A_HUMAN,,75 kDa,TRUE,unknown,0,0,6,3
675,TRUE,Empty,Desmoglein-1 OS=Homo sapiens OX=9606 GN=DSG1 PE=1 SV=2,sp|Q02413|DSG1_HUMAN,,114 kDa,,unknown,0,9,0,1
679,TRUE,Empty,FACT complex subunit SSRP1 OS=Homo sapiens OX=9606 GN=SSRP1 PE=1 SV=1,sp|Q08945|SSRP1_HUMAN,,81 kDa,,unknown,0,0,8,4
680,TRUE,Empty,Pescadillo homolog OS=Homo sapiens OX=9606 GN=PES1 PE=1 SV=1,tr|B5MCF9|B5MCF9_HUMAN,,66 kDa,,unknown,0,0,2,10
682,TRUE,Empty,Serine/threonine-protein kinase VRK1 OS=Homo sapiens OX=9606 GN=VRK1 PE=1 SV=1,sp|Q99986|VRK1_HUMAN,,45 kDa,,unknown,0,0,4,9
684,TRUE,Empty,60S ribosomal protein L19 OS=Homo sapiens OX=9606 GN=RPL19 PE=1 SV=1,sp|P84098|RL19_HUMAN (+2),,23 kDa,,unknown,0,0,2,12
687,TRUE,Empty,Trypsin-2 OS=Homo sapiens OX=9606 GN=PRSS2 PE=1 SV=1,tr|A0A0J9YYC8|A0A0J9YYC8_HUMAN,,26 kDa,TRUE,unknown,0,2,0,0
689,TRUE,Empty,YLP motif-containing protein 1 OS=Homo sapiens OX=9606 GN=YLPM1 PE=1 SV=4,sp|P49750|YLPM1_HUMAN,,242 kDa,,unknown,0,0,13,0
705,TRUE,Empty,Nucleolar pre-ribosomal-associated protein 1 OS=Homo sapiens OX=9606 GN=URB1 PE=1 SV=4,sp|O60287|NPA1P_HUMAN,,254 kDa,,unknown,0,2,0,10
711,TRUE,Empty,Protein SON OS=Homo sapiens OX=9606 GN=SON PE=1 SV=4,sp|P18583|SON_HUMAN,,264 kDa,,unknown,0,0,4,7
712,TRUE,Empty,Protein Red OS=Homo sapiens OX=9606 GN=IK PE=1 SV=3,sp|Q13123|RED_HUMAN,,66 kDa,,unknown,0,0,9,2
714,TRUE,Empty,Nuclear RNA export factor 1 OS=Homo sapiens OX=9606 GN=NXF1 PE=1 SV=1,sp|Q9UBU9|NXF1_HUMAN,,70 kDa,,unknown,0,0,3,9
715,TRUE,Empty,60S ribosomal protein L21 OS=Homo sapiens OX=9606 GN=RPL21 PE=1 SV=2,sp|P46778|RL21_HUMAN,,19 kDa,,unknown,0,0,3,9
717,TRUE,Empty,Heterochromatin protein 1-binding protein 3 OS=Homo sapiens OX=9606 GN=HP1BP3 PE=1 SV=1,sp|Q5SSJ5|HP1B3_HUMAN,,61 kDa,,unknown,0,0,2,9
720,TRUE,Empty,SUN domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SUN1 PE=1 SV=1,tr|E9PHI4|E9PHI4_HUMAN,,91 kDa,TRUE,unknown,0,0,2,6
723,TRUE,Empty,ATP-dependent RNA helicase DDX50 OS=Homo sapiens OX=9606 GN=DDX50 PE=1 SV=1,sp|Q9BQ39|DDX50_HUMAN,,83 kDa,TRUE,unknown,0,0,0,5
724,TRUE,Empty,Heat shock protein 105 kDa OS=Homo sapiens OX=9606 GN=HSPH1 PE=1 SV=1,sp|Q92598|HS105_HUMAN,,97 kDa,TRUE,unknown,0,11,0,1
725,TRUE,Empty,Leucine-rich repeat flightless-interacting protein 1 OS=Homo sapiens OX=9606 GN=LRRFIP1 PE=1 SV=2,sp|Q32MZ4|LRRF1_HUMAN,,89 kDa,,unknown,0,12,0,0
731,TRUE,Empty,Proliferation marker protein Ki-67 OS=Homo sapiens OX=9606 GN=MKI67 PE=1 SV=2,sp|P46013|KI67_HUMAN,,359 kDa,,unknown,0,0,4,5
743,TRUE,Empty,Probable ATP-dependent RNA helicase DDX23 OS=Homo sapiens OX=9606 GN=DDX23 PE=1 SV=3,sp|Q9BUQ8|DDX23_HUMAN,,96 kDa,,unknown,0,0,4,3
744,TRUE,Empty,Eukaryotic translation initiation factor 4 gamma 2 (Fragment) OS=Homo sapiens OX=9606 GN=EIF4G2 PE=1 SV=1,tr|D3DQV9|D3DQV9_HUMAN (+1),,102 kDa,,unknown,0,9,0,2
745,TRUE,Empty,Chromosome-associated kinesin KIF4A OS=Homo sapiens OX=9606 GN=KIF4A PE=1 SV=3,sp|O95239|KIF4A_HUMAN,,140 kDa,TRUE,unknown,0,0,2,6
751,TRUE,Empty,"Lamina-associated polypeptide 2, isoforms beta/gamma OS=Homo sapiens OX=9606 GN=TMPO PE=1 SV=2",sp|P42167|LAP2B_HUMAN (+1),,51 kDa,TRUE,unknown,0,0,2,2
753,TRUE,Empty,Cleavage and polyadenylation-specificity factor subunit 7 (Fragment) OS=Homo sapiens OX=9606 GN=CPSF7 PE=1 SV=1,tr|F5H669|F5H669_HUMAN,,41 kDa,,unknown,0,0,10,1
755,TRUE,Empty,*REV*Homeobox protein Hox-B3 OS=Homo sapiens OX=9606 GN=HOXB3 PE=4 SV=1,r-tr|F8VXG0|F8VXG0_HUMAN,,31 kDa,TRUE,unknown,0,2,0,4
758,TRUE,Empty,Histone H2A.V OS=Homo sapiens OX=9606 GN=H2AZ2 PE=1 SV=3,sp|Q71UI9|H2AV_HUMAN,,14 kDa,TRUE,unknown,0,0,0,2
766,TRUE,Empty,*REV*Microtubule cross-linking factor 1 OS=Homo sapiens OX=9606 GN=MTCL1 PE=1 SV=5,r-sp|Q9Y4B5|MTCL1_HUMAN,,210 kDa,TRUE,unknown,0,0,4,0
767,TRUE,Empty,Dolichyl-diphosphooligosaccharide--protein glycosyltransferase 48 kDa subunit OS=Homo sapiens OX=9606 GN=DDOST PE=1 SV=4,sp|P39656|OST48_HUMAN,,51 kDa,,unknown,0,3,2,5
772,TRUE,Empty,SPATS2-like protein OS=Homo sapiens OX=9606 GN=SPATS2L PE=1 SV=2,sp|Q9NUQ6|SPS2L_HUMAN (+1),,62 kDa,,unknown,0,0,3,7
774,TRUE,Empty,60S ribosomal protein L5 OS=Homo sapiens OX=9606 GN=RPL5 PE=1 SV=3,sp|P46777|RL5_HUMAN,,34 kDa,,unknown,0,2,0,8
778,TRUE,Empty,"Pyruvate dehydrogenase E1 component subunit beta, mitochondrial OS=Homo sapiens OX=9606 GN=PDHB PE=1 SV=3",sp|P11177|ODPB_HUMAN,,39 kDa,,unknown,0,7,0,3
781,TRUE,Empty,60S ribosomal protein L27 OS=Homo sapiens OX=9606 GN=RPL27 PE=1 SV=2,sp|P61353|RL27_HUMAN,,16 kDa,,unknown,0,0,2,7
788,TRUE,Empty,ATP-dependent RNA helicase DDX24 OS=Homo sapiens OX=9606 GN=DDX24 PE=1 SV=1,sp|Q9GZR7|DDX24_HUMAN (+1),,96 kDa,,unknown,0,0,0,9
789,TRUE,Empty,Collagen alpha-2(V) chain OS=Homo sapiens OX=9606 GN=COL5A2 PE=1 SV=3,sp|P05997|CO5A2_HUMAN,,145 kDa,TRUE,unknown,0,0,0,7
790,TRUE,Empty,Neutral alpha-glucosidase AB OS=Homo sapiens OX=9606 GN=GANAB PE=1 SV=3,sp|Q14697|GANAB_HUMAN,,107 kDa,,unknown,0,9,0,0
792,TRUE,Empty,Kinesin-1 heavy chain OS=Homo sapiens OX=9606 GN=KIF5B PE=1 SV=1,sp|P33176|KINH_HUMAN,,110 kDa,TRUE,unknown,0,9,0,0
793,TRUE,Empty,General vesicular transport factor p115 OS=Homo sapiens OX=9606 GN=USO1 PE=1 SV=2,sp|O60763|USO1_HUMAN,,108 kDa,,unknown,0,8,0,0
794,TRUE,Empty,Tropomyosin alpha-3 chain OS=Homo sapiens OX=9606 GN=TPM3 PE=1 SV=1,tr|A0A087WWU8|A0A087WWU8_HUMAN,,26 kDa,TRUE,unknown,0,2,0,0
826,TRUE,Empty,60S ribosomal protein L35a OS=Homo sapiens OX=9606 GN=RPL35A PE=1 SV=2,sp|P18077|RL35A_HUMAN,,13 kDa,,unknown,0,0,3,5
828,TRUE,Empty,60S ribosomal protein L7-like 1 OS=Homo sapiens OX=9606 GN=RPL7L1 PE=1 SV=2,sp|Q6DKI1|RL7L_HUMAN,,30 kDa,,unknown,0,0,1,9
832,TRUE,Empty,Ribosomal biogenesis protein LAS1L OS=Homo sapiens OX=9606 GN=LAS1L PE=1 SV=2,sp|Q9Y4W2|LAS1L_HUMAN,,83 kDa,,unknown,0,0,3,4
833,TRUE,Empty,Polynucleotide 5'-hydroxyl-kinase NOL9 OS=Homo sapiens OX=9606 GN=NOL9 PE=1 SV=1,sp|Q5SY16|NOL9_HUMAN,,79 kDa,,unknown,0,0,2,6
845,TRUE,Empty,"Pyrroline-5-carboxylate reductase 1, mitochondrial OS=Homo sapiens OX=9606 GN=PYCR1 PE=1 SV=2",sp|P32322|P5CR1_HUMAN,,33 kDa,TRUE,unknown,0,0,0,3
846,TRUE,Empty,60S ribosomal protein L36a OS=Homo sapiens OX=9606 GN=RPL36A PE=1 SV=2,sp|P83881|RL36A_HUMAN (+1),,12 kDa,,unknown,0,0,0,8
847,TRUE,Empty,Unhealthy ribosome biogenesis protein 2 homolog OS=Homo sapiens OX=9606 GN=URB2 PE=1 SV=2,sp|Q14146|URB2_HUMAN,,171 kDa,,unknown,0,0,0,7
848,TRUE,Empty,Kinesin-like protein KIF15 OS=Homo sapiens OX=9606 GN=KIF15 PE=1 SV=1,sp|Q9NS87|KIF15_HUMAN,,160 kDa,TRUE,unknown,0,5,0,0
850,TRUE,Empty,CTP synthase 1 OS=Homo sapiens OX=9606 GN=CTPS1 PE=1 SV=2,sp|P17812|PYRG1_HUMAN (+1),,67 kDa,,unknown,0,9,0,0
851,TRUE,Empty,Stress-induced-phosphoprotein 1 OS=Homo sapiens OX=9606 GN=STIP1 PE=1 SV=1,sp|P31948|STIP1_HUMAN,,63 kDa,,unknown,0,7,0,0
853,TRUE,Empty,Probable ATP-dependent RNA helicase DDX10 OS=Homo sapiens OX=9606 GN=DDX10 PE=1 SV=2,sp|Q13206|DDX10_HUMAN,,101 kDa,,unknown,0,0,0,9
854,TRUE,Empty,Thioredoxin domain-containing protein 5 OS=Homo sapiens OX=9606 GN=TXNDC5 PE=1 SV=2,sp|Q8NBS9|TXND5_HUMAN,,48 kDa,,unknown,0,8,0,0
855,TRUE,Empty,Pyrroline-5-carboxylate reductase OS=Homo sapiens OX=9606 GN=PYCR2 PE=1 SV=1,tr|A0A087WTV6|A0A087WTV6_HUMAN,,26 kDa,TRUE,unknown,0,0,0,2
856,TRUE,Empty,*REV*Centriolin OS=Homo sapiens OX=9606 GN=CNTRL PE=1 SV=2,r-sp|Q7Z7A1|CNTRL_HUMAN,,269 kDa,TRUE,unknown,0,0,2,0
859,TRUE,Empty,DNA replication licensing factor MCM5 OS=Homo sapiens OX=9606 GN=MCM5 PE=1 SV=5,sp|P33992|MCM5_HUMAN,,82 kDa,,unknown,0,1,3,0
868,TRUE,Empty,ATP-binding cassette sub-family D member 3 OS=Homo sapiens OX=9606 GN=ABCD3 PE=1 SV=1,sp|P28288|ABCD3_HUMAN (+1),,75 kDa,,unknown,0,0,1,4
870,TRUE,Empty,Staphylococcal nuclease domain-containing protein 1 OS=Homo sapiens OX=9606 GN=SND1 PE=1 SV=1,sp|Q7KZF4|SND1_HUMAN,,102 kDa,,unknown,0,0,1,5
871,TRUE,Empty,*REV*Zinc finger protein 469 OS=Homo sapiens OX=9606 GN=ZNF469 PE=1 SV=2,r-tr|H3BS19|H3BS19_HUMAN,,413 kDa,,unknown,0,0,0,2
878,TRUE,Empty,RRP12-like protein OS=Homo sapiens OX=9606 GN=RRP12 PE=1 SV=2,sp|Q5JTH9|RRP12_HUMAN,,144 kDa,,unknown,0,0,2,5
879,TRUE,Empty,"Spectrin beta chain, non-erythrocytic 4 OS=Homo sapiens OX=9606 GN=SPTBN4 PE=1 SV=2",sp|Q9H254|SPTN4_HUMAN (+1),,289 kDa,TRUE,unknown,0,2,0,0
